OBJECTNUMMER;Naam;Bron;ProjectID;Uitvoerder;Datum;Maaiveld_hoogte;Diepte_to_maaiveld;Top_Pleistoceen;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1685;"B04-2190";"Waternet";"(12)64420";"onbekend";"onbekend";"0.6";"-25.0";-12.3;"POINT(4.825436,52.415395)";"POINT(52.415395,4.825436)";4.825436;52.415395;
1686;"B04-2191";"Waternet";"(12)64420";"onbekend";"onbekend";"0.6";"-25.0";-12.4;"POINT(4.825026,52.415312)";"POINT(52.415312,4.825026)";4.825026;52.415312;
1687;"B04-2196";"Waternet";"(12)64420";"onbekend";"onbekend";"1.1";"-24.5";-19;"POINT(4.82952,52.408557)";"POINT(52.408557,4.82952)";4.82952;52.408557;
1688;"B04-2197";"Waternet";"(12)64420";"onbekend";"onbekend";"1.1";"-20.4";-19.2;"POINT(4.829933,52.408406)";"POINT(52.408406,4.829933)";4.829933;52.408406;
1689;"B04-2198";"Waternet";"(12)64420";"onbekend";"onbekend";"1.1";"-20.5";-12.5;"POINT(4.830303,52.408219)";"POINT(52.408219,4.830303)";4.830303;52.408219;
1690;"B04-2199";"Waternet";"(12)64420";"onbekend";"onbekend";"1.1";"-23.7";-13;"POINT(4.830673,52.408041)";"POINT(52.408041,4.830673)";4.830673;52.408041;
1691;"B04-2200";"Waternet";"(12)64420";"onbekend";"onbekend";"1.0";"-20.9";-12.5;"POINT(4.831308,52.407756)";"POINT(52.407756,4.831308)";4.831308;52.407756;
1692;"B04-2201";"Waternet";"(12)64420";"onbekend";"onbekend";"1.0";"-21.0";-12.8;"POINT(4.831618,52.40765)";"POINT(52.40765,4.831618)";4.831618;52.40765;
1693;"B04-222";"Waternet";"68";"onbekend";"onbekend";"-2.9";"-13.2";-12.4;"POINT(4.842003,52.411688)";"POINT(52.411688,4.842003)";4.842003;52.411688;
1694;"B04-226";"Waternet";"617";"onbekend";"onbekend";"onbekend";"onbekend";-12.6;"POINT(4.81773,52.412266)";"POINT(52.412266,4.81773)";4.81773;52.412266;
1695;"B04-228";"Waternet";"217";"onbekend";"onbekend";"1.4";"-20.2";-12.8;"POINT(4.818641,52.410033)";"POINT(52.410033,4.818641)";4.818641;52.410033;
1696;"B04-229";"Waternet";"217";"onbekend";"onbekend";"1.4";"-19.2";-15.6;"POINT(4.817608,52.412661)";"POINT(52.412661,4.817608)";4.817608;52.412661;
1697;"B04-230";"Waternet";"217";"onbekend";"onbekend";"1.2";"-22.4";-12.8;"POINT(4.81831,52.411757)";"POINT(52.411757,4.81831)";4.81831;52.411757;
1698;"B04-235";"Waternet";"217";"onbekend";"onbekend";"0.8";"-14.7";-12.1;"POINT(4.81944,52.409614)";"POINT(52.409614,4.81944)";4.81944;52.409614;
1699;"B04-236";"Waternet";"217";"onbekend";"onbekend";"1.1";"-19.5";-18.8;"POINT(4.819614,52.408635)";"POINT(52.408635,4.819614)";4.819614;52.408635;
1700;"B04-242";"Waternet";"217";"onbekend";"onbekend";"0.5";"-20.1";-18.3;"POINT(4.820041,52.408566)";"POINT(52.408566,4.820041)";4.820041;52.408566;
1701;"B04-245";"Waternet";"3923.1";"onbekend";"onbekend";"0.7";"-20.4";-11.9;"POINT(4.830069,52.40695)";"POINT(52.40695,4.830069)";4.830069;52.40695;
1702;"B04-246";"Waternet";"3923.1";"onbekend";"onbekend";"0.9";"-12.5";-11.9;"POINT(4.829379,52.406947)";"POINT(52.406947,4.829379)";4.829379;52.406947;
1703;"B04-247";"Waternet";"3923.1";"onbekend";"onbekend";"1.1";"-11.9";-12.2;"POINT(4.828629,52.406944)";"POINT(52.406944,4.828629)";4.828629;52.406944;
1704;"B04-248";"Waternet";"3923.1";"onbekend";"onbekend";"1.1";"-13.1";-12.2;"POINT(4.827924,52.406958)";"POINT(52.406958,4.827924)";4.827924;52.406958;
1705;"B04-252";"Waternet";"3923.2";"onbekend";"onbekend";"1.0";"-12.1";-11.3;"POINT(4.828994,52.407125)";"POINT(52.407125,4.828994)";4.828994;52.407125;
1706;"B04-256";"Waternet";"3923.2";"onbekend";"onbekend";"0.7";"-12.8";-12.5;"POINT(4.829359,52.407298)";"POINT(52.407298,4.829359)";4.829359;52.407298;
1707;"B04-258";"Waternet";"3923.2";"onbekend";"onbekend";"0.9";"-12.9";-12.2;"POINT(4.827579,52.407487)";"POINT(52.407487,4.827579)";4.827579;52.407487;
1708;"B04-262";"Waternet";"3923.3";"onbekend";"onbekend";"0.8";"-12.4";-11.9;"POINT(4.828916,52.407484)";"POINT(52.407484,4.828916)";4.828916;52.407484;
1709;"B04-263";"Waternet";"3923.3";"onbekend";"onbekend";"0.9";"-12.9";-12.4;"POINT(4.828226,52.407481)";"POINT(52.407481,4.828226)";4.828226;52.407481;
1710;"B04-281";"Waternet";"4902";"onbekend";"onbekend";"0.9";"-15.0";-12.8;"POINT(4.830965,52.407008)";"POINT(52.407008,4.830965)";4.830965;52.407008;
1711;"B04-284";"Waternet";"4934";"onbekend";"onbekend";"0.9";"-22.3";-12.7;"POINT(4.831046,52.407557)";"POINT(52.407557,4.831046)";4.831046;52.407557;
