OBJECTNUMMER;Adres;Soort;Datum;Omschrijving;Foto;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
231;"Zuider IJdijk 18";"Bom, granaat, afweergeschut";"8/04/43";"33 brandbommen ingeslagen ";"";"POINT(4.9595148,52.3652922)";"POINT(52.3652922,4.9595148)";4.9595148;52.3652922;
232;"Zuider IJdijk 22";"Bom, granaat, afweergeschut";"8/04/43";"3 brandbommen. 3 gaten in het wegdek van de brug";"";"POINT(4.9587748,52.3687941)";"POINT(52.3687941,4.9587748)";4.9587748;52.3687941;
233;"Reguliersdwarsstraat 46";"Vliegtuig(onderdeel) neergestort";"27/04/43";"Vliegtuig omlaag gestort. 2.32 uur: `Brandend vliegtuig omlaag gestort in Reguliersdwarsstraat  achter Carltonhotel. Hierdoor zijn een groote brand en 3 explosies ontstaan. Het vuur is begrensd geworden door Muntplein, Vijzelstraat, Heerengracht, Geelvincksteeg, Singel en Muntplein.` Geheel uitgebrand: Singel 532-534 In puin: Singel 536-538, 540-542, 544-548 Gedeeltelijk verbrand: Vijzelstraat 43, 45, 47, 49 en 51 Gedeeltelijk verwoest: Regulierdwarsstraat 44, Geelvincksteeg 2, 4, 6, 8, 10, 11 en 13 Volkomen uitgebrand: Reguliersdwarsstraat 46 t/m ingang Carltonhotel. Gedeeltelijk uitgebrand: Reguliersdwarsstraat 44 Brandschade bovenverdieping: Vijzelstraat 22-24, Heerengracht 505 en 507.                                           Uit ?Het Achterhuis?, Anne Frank: `Dinsdag 27 april 1943. `Lieve Kitty, Het hele huis dendert van de ruzie. Moeder en ik, Van Daan en pappa, moeder en mevrouw, alles is kwaad op elkaar, leuke sfeer h?? Het gebruikelijke zondenregister van Anne kwam in z?n hele omvang opnieuw op het tapijt. Verleden zaterdag kwamen de buitenlandse heren weer op bezoek. Ze zijn tot zes uur gebleven, we zaten allemaal boven en durfden ons niet te verroeren.  Als er anders niemand in huis of in de buurt aan ?t werk is, hoort men in ?t priv?-kantoor  elke stap. Ik heb weer de zitkoorts, zo lang muisstil zitten valt heus niet mee. Mijnheer Voskuijl ligt al in het Binnengasthuis, mijnheer Kleiman is weer op kantoor, de maagbloeding was gauwer gestelpt dan anders. Hij heeft verteld dat de burgelijke stand nog eens extra toegetakeld is door de brandweer, die in plaats van het vuur te blussen, de hele boel onder water heeft gezet. Dat doet me plezier! Het Carlton is kapot, twee Engelse vliegers met een grote lading brandbommen aan boord zijn precies op het ?Offiziersheim? gevallen. De hele hoek Vijzelstraat-Singel is afgebrand. De luchtaanvallen op de Duitse steden worden van dag tot dag sterker. We hebben geen nacht rust meer, ik heb zwarte kringen onder mijn ogen door tekort aan slaap.`";"";"POINT(4.8916352,52.3660933)";"POINT(52.3660933,4.8916352)";4.8916352;52.3660933;
234;"Talmastraat 33";"Bom, granaat, afweergeschut";"1/05/43";"Granaat ontploft. Ruiten beschadigd van de huizen: Talmastraat 29, 31, 33, 35, 37, 39, 20, 22, 24. Cornelis Springerstraat 1 hs, 2, 4 hs. Ook beschadigingen aan meubelen, en wegdek voor Talmastraat 33 ter grootte van 1 m2";"";"POINT(4.9017551,52.3509947)";"POINT(52.3509947,4.9017551)";4.9017551;52.3509947;
235;"Liergouw 40";"Bom, granaat, afweergeschut";"2/05/43";"Ongeveer 40 brandbommen afgeworpen door Engels vliegtuig. Geen slachtoffers";"";"POINT(4.9685752,52.3820922)";"POINT(52.3820922,4.9685752)";4.9685752;52.3820922;
236;"Kometensingel 182";"Vliegtuig(onderdeel) neergestort";"3/05/43";"1 vliegtuig neergekomen ";"";"POINT(4.887295,52.4149939)";"POINT(52.4149939,4.887295)";4.887295;52.4149939;
237;"Van Bossestraat 34";"Vliegtuig(onderdeel) neergestort";"3/05/43";"1 vliegtuig neergekomen. Van Bossestraat 28-44 beschadigd, waarvan de nummers 34-36 ernstig. Glasschade Van Bossestraat 25 en 27. Rochussenstraat 11 ernstig beschadigd. 4 doden, 12 gewonden";"";"POINT(4.8685248,52.3812949)";"POINT(52.3812949,4.8685248)";4.8685248;52.3812949;
238;"Frederik Hendrikstraat 13";"Overig";"19/06/43";"Glazen bolletje gevuld met fosfor (inhoud 200 ? 300 cm3) neergekomen ?";"";"POINT(4.874665,52.3770949)";"POINT(52.3770949,4.874665)";4.874665;52.3770949;
239;"Rombout Hogerbeetsstraat 44";"Overig";"19/06/43";"Glazen bolletje gevuld met fosfor (inhoud 200 ? 300 cm3) neergekomen";"";"POINT(4.873225,52.3771941)";"POINT(52.3771941,4.873225)";4.873225;52.3771941;
240;"Ambonstraat 1";"Bom, granaat, afweergeschut";"22/06/43";"Granaat ingeslagen. Schade aan Ambonstraat 1 en 3, aan de achterzijde van Palembangstraat 44 veel schade aan ruiten en meubelen. 1 dode";"";"POINT(4.9383752,52.3590933)";"POINT(52.3590933,4.9383752)";4.9383752;52.3590933;
241;"Wognumerstraat 10";"Bom, granaat, afweergeschut";"22/06/43";"Granaat ingeslagen. Glasschade aan nummers 6, 7, 8, 9, 10, 12 en 13 `Mej. Palm oud 12 jaar licht gewond.` Rapp. H.W. Schuchard, dat te ongeveer 3.15 uur door de buitenmuur van perceel Zaanstraat no.10 een granaat van het afweergeschut is doorgedrongen en daar is ontploft. Een gat van ongeveer 1 vierkante meter zit in de buitenmuur. Door de ontploffing is er een ravage ontstaan in de slaapkamer van perceel Zaanstraat nummer 10-I, Recht achter het gat stond een ledikant waarin de echtgenoote met dochtertje sliepen. Het dochtertje genaamd Geetruida is aan het oog verwond. Na behandeld te zijn aan het zittingskanaal. Westerpark van den GG en GD is zij lopend naar het B.G. gebracht voor verder onderzoek. De woningen links en rechts van perceel 10 hebben glasschade opgeloopen.";"";"POINT(4.9479949,52.3868949)";"POINT(52.3868949,4.9479949)";4.9479949;52.3868949;
242;"Haarlemmerweg 4";"Bom, granaat, afweergeschut";"22/06/43";"Getroffen [door granaat?] Meldt de heer Ross Wijkhoofd L.B.D. vak 3 wijk B, dat op het terrein van de Westergasfabriek een scherf is terechtgekomen in de grote gashouder. Na telefonisch onderzoek of politiehulp noodig was, hetgeen niet noodig bleek te zijn, werd medegedeeld dat een groote scherf van het afweer geschut terecht is gekomen in de groote gashouder en daarin een groot gat is ontstaan. Waaruit ongeveer 50.000 kubieke meter gas is ontsnapt. Geen persoonlijke ongelukken zijn gemeld. Het gas is zo spoedig mogenlijk overgeheveld.";"";"POINT(4.8752348,52.3860938)";"POINT(52.3860938,4.8752348)";4.8752348;52.3860938;
243;"Oranje-Vrijstaatkade 57";"Mitrailleurvuur";"3/07/43";"Gashouder door mitrailleurvuur in brand geschoten en uitgebrand";"";"POINT(4.9299648,52.3563925)";"POINT(52.3563925,4.9299648)";4.9299648;52.3563925;
244;"Veelaan 17";"Mitrailleurvuur";"3/07/43";"Mitrailleurvuur. Enige ruiten vernield";"";"POINT(4.9392049,52.3674933)";"POINT(52.3674933,4.9392049)";4.9392049;52.3674933;
245;"Cruquiusweg 12";"Mitrailleurvuur";"3/07/43";"Mitrailleurvuur. Enige ruiten vernield";"";"POINT(4.9347451,52.3683936)";"POINT(52.3683936,4.9347451)";4.9347451;52.3683936;
246;"Linnaeuskade 31";"Mitrailleurvuur";"3/07/43";"Mitrailleurvuur. Linnaeuskade 31: dakpannen beschadigd. 1 dode. Pythagorasstraat 1: dakpannen beschadigd. Hogeweg 9 III: buitenmuren licht beschadigd. Bredeweg 35 hs: schade aan beddegoed, ledikant, staaldraadmatras, 1 ruit vernield. 2 binnendeuren licht beschadigd. Mr. P.N. Arntzeniusweg 65 hs: 1 ruit vernield. Javastraat 112: deur trapportaal licht beschadigd";"";"POINT(4.932585,52.3562934)";"POINT(52.3562934,4.932585)";4.932585;52.3562934;
247;"Pythagorasstraat 1";"Omgevingsschade";"3/07/43";"Dakpannen beschadigd";"";"POINT(4.9324448,52.3561942)";"POINT(52.3561942,4.9324448)";4.9324448;52.3561942;
248;"Hogeweg 9/III";"Omgevingsschade";"3/07/43";"Buitenmuren licht beschadigd";"";"POINT(4.9312551,52.3541915)";"POINT(52.3541915,4.9312551)";4.9312551;52.3541915;
249;"Bredeweg 35/hs";"Omgevingsschade";"3/07/43";"Schade aan beddegoed, ledikant, staaldraadmatras, 1 ruit vernield. 2 binnendeuren licht beschadigd.";"";"POINT(4.9315951,52.3548934)";"POINT(52.3548934,4.9315951)";4.9315951;52.3548934;
250;"Javastraat 112";"Omgevingsschade";"3/07/43";"Deur trapportaal licht beschadigd";"";"POINT(4.9370248,52.3635947)";"POINT(52.3635947,4.9370248)";4.9370248;52.3635947;
251;"Velserweg 28";"Bom, granaat, afweergeschut";"7/07/43";"Een gat in de grond ontdekt. `bij nader onderzoek is gebleken dat dit gat veroorzaakt was door een uit elkaar gesprongen granaat.`";"";"POINT(4.845535,52.3863913)";"POINT(52.3863913,4.845535)";4.845535;52.3863913;
252;"Zoutkeetsgracht 2";"Bom, granaat, afweergeschut";"10/07/43";"Een niet-ontploft 2 cm projectiel gevonden. In een vaartuig tegenover Stoommeelfabriek Holland";"";"POINT(4.8899548,52.3885924)";"POINT(52.3885924,4.8899548)";4.8899548;52.3885924;
253;"Ranonkelkade 1, 2-18";"Omgevingsschade";"17/07/43";"Alle ruiten voor en achter stuk, alle huizen zware dakschade";"";"POINT(4.907635,52.386994)";"POINT(52.386994,4.907635)";4.907635;52.386994;
254;"Oleanderstraat 3, 5, 7, 6, 8";"Omgevingsschade";"17/07/43";"Volkomen vernietigd";"";"POINT(4.9074352,52.3877913)";"POINT(52.3877913,4.9074352)";4.9074352;52.3877913;
255;"Jasmijnstraat 26 28, 30";"Omgevingsschade";"17/07/43";"Jasmijnstraat 26, 28, 30 vernietigd, alle nummers in de Jasmijnstraat totale glas- en dakschade";"";"POINT(4.908365,52.3881919)";"POINT(52.3881919,4.908365)";4.908365;52.3881919;
256;"Bremstraat 2";"Omgevingsschade";"17/07/43";"Bremstraat: alle nummers totale glas- en dakschade";"010003049125.jpg";"POINT(4.9084852,52.388394)";"POINT(52.388394,4.9084852)";4.9084852;52.388394;
257;"Asterweg 17-19";"Omgevingsschade";"3/07/43";"Wasscherij `Edelweis`";"";"POINT(4.9042551,52.3896948)";"POINT(52.3896948,4.9042551)";4.9042551;52.3896948;
258;"Asterweg 25";"Omgevingsschade";"3/07/43";"N.V. Orsa";"";"POINT(4.9036248,52.3909918)";"POINT(52.3909918,4.9036248)";4.9036248;52.3909918;
259;"Asterweg 13-15";"Omgevingsschade";"3/07/43";"De British-American-Tobacco Company";"";"POINT(4.9033048,52.3892943)";"POINT(52.3892943,4.9033048)";4.9033048;52.3892943;
260;"Asterweg 14";"Omgevingsschade";"3/07/43";"De Amsterdamsche Dekenfabriek Ezet";"";"POINT(4.9047649,52.3896948)";"POINT(52.3896948,4.9047649)";4.9047649;52.3896948;
261;"Wingerdweg 52";"Omgevingsschade";"3/07/43";"De post G.G. en G.D. aan den Wingerdweg";"010003049130.jpg";"POINT(4.9167149,52.3909918)";"POINT(52.3909918,4.9167149)";4.9167149;52.3909918;
262;"Wingerdweg 4";"Omgevingsschade";"3/07/43";"Het Rosa-scholencomplex aan den Hagedoornweg";"";"POINT(4.913645,52.3887946)";"POINT(52.3887946,4.913645)";4.913645;52.3887946;
263;"Laanweg 40";"Omgevingsschade";"3/07/43";"De Centrale Keuken aan den Laanweg";"";"POINT(4.9080551,52.3860938)";"POINT(52.3860938,4.9080551)";4.9080551;52.3860938;
264;"Meidoornweg 18";"Omgevingsschade";"3/07/43";"In den loop van den avond zijn verscheidene waterleidingsbuizen gesprongen, n.l. Begoniastraat hoek Meidoornweg, Jasmijnstraat hoek Bremstraat en Mosplein hoek Distelkade.";"010003049126.jpg";"POINT(4.9102352,52.3868949)";"POINT(52.3868949,4.9102352)";4.9102352;52.3868949;
265;"Mussenstraat 15";"Bom, granaat, afweergeschut";"17/07/43";"1 blindganger?";"";"POINT(4.9165552,52.3866927)";"POINT(52.3866927,4.9165552)";4.9165552;52.3866927;
266;"Ranonkelkade 27";"Bom, granaat, afweergeschut";"17/07/43";"1 blindganger?";"";"POINT(4.9066451,52.3888938)";"POINT(52.3888938,4.9066451)";4.9066451;52.3888938;
267;"Van der Pekstraat 87";"Bom, granaat, afweergeschut";"18/07/43";"Blindganger gevonden";"";"POINT(4.9099548,52.3895918)";"POINT(52.3895918,4.9099548)";4.9099548;52.3895918;
268;"Nieuwendammerdijk 532";"Bom, granaat, afweergeschut";"19/07/43";"Brisantbommen. 8 trechters van 5-15 meter diameter aangetroffen, veroorzaakt door ontplofte brisantbommen";"";"POINT(4.9460151,52.3849913)";"POINT(52.3849913,4.9460151)";4.9460151;52.3849913;
269;"Papaverweg 35";"Bom, granaat, afweergeschut";"25/07/43";"Minstens 3 bommen. Brand en ernstige schade ";"";"POINT(4.9058649,52.395394)";"POINT(52.395394,4.9058649)";4.9058649;52.395394;
270;"Gedempt Hamerkanaal 31";"Bom, granaat, afweergeschut";"25/07/43";"12 ? 15 bommen. `Er werden echter geen vitale deelen getroffen en het bedrijf ondervindt geen stagnatie. Onder het personeel was 1 doode.`";"";"POINT(4.926615,52.3853919)";"POINT(52.3853919,4.926615)";4.926615;52.3853919;
271;"Kamperfoelieweg 209";"Bom, granaat, afweergeschut";"25/07/43";"7 bommen, waarvan er 1 niet explodeerde. Glasschade aan de kerk. Een buis van de Gemeente Waterleidingen getroffen. Glas- en dakschade. 4 doden, 2 zwaargewonden, 20 lichtgewonden.";"";"POINT(4.910145,52.3992926)";"POINT(52.3992926,4.910145)";4.910145;52.3992926;
272;"Kamperfoelieweg 90, 92, 124, 132, 144, 168, 174, 194, 196, 202-224, 145-193";"Omgevingsschade";"25/07/43";"";"";"POINT(4.9145348,52.3956915)";"POINT(52.3956915,4.9145348)";4.9145348;52.3956915;
273;"Heggerankweg 119-135, 140-162, 141-164, 166-182";"Omgevingsschade";"25/07/43";"";"";"POINT(4.9118049,52.3976943)";"POINT(52.3976943,4.9118049)";4.9118049;52.3976943;
274;"Pinksterbloemstraat 2-18, 3, 7, 19, 21, 23, 24, 32, 34, 36, 39";"Omgevingsschade";"25/07/43";"";"";"POINT(4.9129851,52.3984915)";"POINT(52.3984915,4.9129851)";4.9129851;52.3984915;
275;"Floraweg 13, 24-37";"Omgevingsschade";"25/07/43";"";"";"POINT(4.917105,52.3997923)";"POINT(52.3997923,4.917105)";4.917105;52.3997923;
276;"Binnenhofstraat 5, 47, 65, 75";"Omgevingsschade";"25/07/43";"";"";"POINT(4.915745,52.3989913)";"POINT(52.3989913,4.915745)";4.915745;52.3989913;
277;"Bitterzoetstraat 9, 36";"Omgevingsschade";"25/07/43";"";"";"POINT(4.917125,52.3993918)";"POINT(52.3993918,4.917125)";4.917125;52.3993918;
278;"Sneeuwbalstraat 44, 48, 62, 84";"Omgevingsschade";"25/07/43";"";"";"POINT(4.915355,52.3972937)";"POINT(52.3972937,4.915355)";4.915355;52.3972937;
279;"Campanulastraat 1, 7, 9, 10-18";"Omgevingsschade";"25/07/43";"";"";"POINT(4.915755,52.3980948)";"POINT(52.3980948,4.915755)";4.915755;52.3980948;
280;"Dotterbloemstraat 19, 20, 21, 22-28, 35";"Omgevingsschade";"25/07/43";"";"";"POINT(4.914365,52.3984915)";"POINT(52.3984915,4.914365)";4.914365;52.3984915;
281;"Ereprijsstraat 1";"Omgevingsschade";"25/07/43";"";"";"POINT(4.9162252,52.3983924)";"POINT(52.3983924,4.9162252)";4.9162252;52.3983924;
282;"Aurikelstraat 117";"Omgevingsschade";"25/07/43";"";"";"POINT(4.9161951,52.3977934)";"POINT(52.3977934,4.9161951)";4.9161951;52.3977934;
283;"Pirolastraat 10, 11, 14, 15, 17, 22, 23, 25, 29, 32, 40, 43, 44";"Omgevingsschade";"25/07/43";"";"";"POINT(4.915375,52.3980948)";"POINT(52.3980948,4.915375)";4.915375;52.3980948;
284;"Korenbloemstraat 31, 34, 37, 41, 48, 49, 52, 53, 56, 57, 60, 63, 64, 65";"Omgevingsschade";"25/07/43";"";"";"POINT(4.9139249,52.3985945)";"POINT(52.3985945,4.9139249)";4.9139249;52.3985945;
285;"Buiksloterdijk 322, 384, 468-632";"Omgevingsschade";"25/07/43";"";"";"POINT(4.919595,52.4001929)";"POINT(52.4001929,4.919595)";4.919595;52.4001929;
286;"Stadionweg 103";"Mitrailleurvuur";"25/07/43";"Mitrailleurkogel door het dak. Lichte schade. Geen persoonlijke ongelukken";"";"POINT(4.8702848,52.3464934)";"POINT(52.3464934,4.8702848)";4.8702848;52.3464934;
287;"Buikslotermeerdijk 7";"Bom, granaat, afweergeschut";"25/07/43";"Blindganger in het water gevallen";"";"POINT(4.9250448,52.3973929)";"POINT(52.3973929,4.9250448)";4.9250448;52.3973929;
288;"Netwerkweg 15";"Bom, granaat, afweergeschut";"28/07/43";"Brisantbom, 1 blindganger. [In totaal 9 woonhuizen vernietigd, 11 zwaar beschadigd, 207 met glas- en dakschade. 13 doden, 22 zwaargewonden en 36 lichtgewonden]";"";"POINT(4.8833048,52.4106948)";"POINT(52.4106948,4.8833048)";4.8833048;52.4106948;
289;"Nieuwendammerkade 1";"Bom, granaat, afweergeschut";"28/07/43";"Brisantbom. [In totaal 9 woonhuizen vernietigd, 11 zwaar beschadigd, 207 met glas- en dakschade. 13 doden, 22 zwaargewonden en 36 lichtgewonden]";"";"POINT(4.9358351,52.3842932)";"POINT(52.3842932,4.9358351)";4.9358351;52.3842932;
290;"Distelweg 90";"Bom, granaat, afweergeschut";"28/07/43";"Brisantbom, 1 blindganger. [In totaal 9 woonhuizen vernietigd, 11 zwaar beschadigd, 207 met glas- en dakschade. 13 doden, 22 zwaargewonden en 36 lichtgewonden]";"";"POINT(4.900955,52.3949935)";"POINT(52.3949935,4.900955)";4.900955;52.3949935;
291;"Distelweg 85";"Bom, granaat, afweergeschut";"28/07/43";"Brisantbom. [In totaal 9 woonhuizen vernietigd, 11 zwaar beschadigd, 207 met glas- en dakschade. 13 doden, 22 zwaargewonden en 36 lichtgewonden]";"";"POINT(4.9047449,52.3927924)";"POINT(52.3927924,4.9047449)";4.9047449;52.3927924;
292;"Mosplein 40";"Bom, granaat, afweergeschut";"28/07/43";"Brisantbom. [In totaal 9 woonhuizen vernietigd, 11 zwaar beschadigd, 207 met glas- en dakschade. 13 doden, 22 zwaargewonden en 36 lichtgewonden]";"";"POINT(4.9130752,52.3929946)";"POINT(52.3929946,4.9130752)";4.9130752;52.3929946;
293;"Mussenstraat 2";"Bom, granaat, afweergeschut";"30/07/43";"Blindganger gevonden?";"";"POINT(4.9162648,52.3863913)";"POINT(52.3863913,4.9162648)";4.9162648;52.3863913;
294;"Gerard Brandtstraat 30";"Overig";"25/08/43";"Een zelfregistrerende barometer met parachute gevonden";"";"POINT(4.8683751,52.3598944)";"POINT(52.3598944,4.8683751)";4.8683751;52.3598944;
295;"Singel 320";"Vliegtuig(onderdeel) neergestort";"30/08/43";"Een voorwerp gevonden dat op een benzinetank lijkt en een brandbare vloeistof bevat.`";"";"POINT(4.8878348,52.3709914)";"POINT(52.3709914,4.8878348)";4.8878348;52.3709914;
296;"Herculesstraat 52/II";"Bom, granaat, afweergeschut";"3/10/43";"Granaatscherf van het afweergeschut. Heeft een gat geslagen in de dakgoot. Verder schade aan plafond van de tweede etage en waterschade tweede en eerste etage";"";"POINT(4.8624251,52.3476912)";"POINT(52.3476912,4.8624251)";4.8624251;52.3476912;
297;"Haringvlietstraat 17";"Vliegtuig(onderdeel) neergestort";"11/11/43";"Lege benzinetank neergekomen";"";"POINT(4.8868349,52.346192)";"POINT(52.346192,4.8868349)";4.8868349;52.346192;
298;"Karel du Jardinstraat 4";"Vliegtuig(onderdeel) neergestort";"11/11/43";"Lege benzinetank neergekomen";"";"POINT(4.8931749,52.3506934)";"POINT(52.3506934,4.8931749)";4.8931749;52.3506934;
299;"Wijdenesserstraat 4";"Vliegtuig(onderdeel) neergestort";"11/11/43";"Lege benzinetank neergekomen";"";"POINT(4.9464748,52.3896948)";"POINT(52.3896948,4.9464748)";4.9464748;52.3896948;
300;"Nachtegaalstraat 76";"Vliegtuig(onderdeel) neergestort";"11/11/43";"Lege benzinetank neergekomen";"";"POINT(4.9133551,52.3845946)";"POINT(52.3845946,4.9133551)";4.9133551;52.3845946;
301;"Kraaienplein 28";"Vliegtuig(onderdeel) neergestort";"11/11/43";"Lege benzinetank neergekomen";"";"POINT(4.915365,52.3859946)";"POINT(52.3859946,4.915365)";4.915365;52.3859946;
302;"Buiksloterdijk 138";"Vliegtuig(onderdeel) neergestort";"11/11/43";"Lege benzinetank neergekomen";"";"POINT(4.9237149,52.3954932)";"POINT(52.3954932,4.9237149)";4.9237149;52.3954932;
303;"Linnaeusstraat 2";"Luchtaanval";"25/11/43";"Kogel Duits Vliegtuig. R.W. Hunia getroffen en zwaar gewond door een kogel uit een Duits vliegtuig";"";"POINT(4.923815,52.3616912)";"POINT(52.3616912,4.923815)";4.923815;52.3616912;
304;"Sleutelbloemstraat 40";"Bom, granaat, afweergeschut";"26/11/43";"Brandbom?";"";"POINT(4.9124849,52.3902938)";"POINT(52.3902938,4.9124849)";4.9124849;52.3902938;
305;"Wingerdweg 40";"Bom, granaat, afweergeschut";"26/11/43";"Brandbom";"";"POINT(4.915735,52.3898932)";"POINT(52.3898932,4.915735)";4.915735;52.3898932;
306;"Asterweg 1";"Bom, granaat, afweergeschut";"26/11/43";"Brandbom?";"";"POINT(4.9042952,52.3887946)";"POINT(52.3887946,4.9042952)";4.9042952;52.3887946;
307;"Mosveld 2";"Bom, granaat, afweergeschut";"26/11/43";"Brandbom?";"";"POINT(4.9161851,52.3910948)";"POINT(52.3910948,4.9161851)";4.9161851;52.3910948;
308;"Spuistraat 259";"Bom, granaat, afweergeschut";"26/11/43";"Granaat van het luchtdoelgeschut ingeslagen. `Is door dak heengeslagen en op de 2e verdieping van boven geëxplodeerd.` Dak zwaar beschadigd en aanzienlijke glasschade. Verder glasschade aan nummers 268, 270, 272 en 274";"";"POINT(4.8892848,52.3703925)";"POINT(52.3703925,4.8892848)";4.8892848;52.3703925;
309;"Ceintuurbaan 203";"Bom, granaat, afweergeschut";"26/11/43";"Granaat van het luchtdoelgeschut ontploft. Bovenleiding van de trambaan vernield en bestrating ernstig beschadigd. Aanzienlijke glasschade aan de omliggende huizen. ";"";"POINT(4.9019148,52.3551947)";"POINT(52.3551947,4.9019148)";4.9019148;52.3551947;
310;"Keizersgracht 688";"Bom, granaat, afweergeschut";"26/11/43";"Granaatscherf ingeslagen. Schade gering, hoofdzakelijk glasschade [Gebouw in gebruik bij de Duitse Weermacht]";"";"POINT(4.8943851,52.3632933)";"POINT(52.3632933,4.8943851)";4.8943851;52.3632933;
311;"Sloterweg 1121";"Overig";"28/11/43";"Kleine Ballon. `Ca. 15.15 uur is uit Westelijke richting komen aandrijven een kleine ballon waaraan een bus, welke tegen landhek achter perceel Sloterweg 1121 is blijven hangen. De bus was gevuld met petroleum en andere stoffen.`";"";"POINT(4.8032648,52.3410918)";"POINT(52.3410918,4.8032648)";4.8032648;52.3410918;
312;"Rokin 113";"Bom, granaat, afweergeschut";"4/12/43";"Granaat van het afweergeschut ontploft. Glasschade aan Rokin 98 en 101-119 Geen gewonden";"";"POINT(4.8927748,52.3694922)";"POINT(52.3694922,4.8927748)";4.8927748;52.3694922;
313;"Warmoesstraat 147";"Bom, granaat, afweergeschut";"13/12/43";"Granaat van het afweergeschut ontploft. Schade: De ondergetekende Ties Rozema, Kapitein der Staatspolitie ter standplaats Amsterdam, Vakhoofd in van IV, verklaar het volgende: Op maandag 13 december 1943, den voormiddags te ongeveer 10.17 uur, is vermoedelijk een granaatvan het luchtafweergeschut terechtgekomen op den voetweg van den openbaren weg de Warmoesstraat te Amsterdam voor perceel 147/151 en aldoor ontploft. Er ontstond een gat in den voetwegvoor den kelder van het perceel, terwijl van het perceel (Fa. Ellerman en Harms), alle ruiten aan de voorzijde werden vernield. Alsmede van het perceel Warmoesstraat 142/144/146/148 (Fa. S. I. de Vries), Vele ruiten aan de voorzijde, van perceel Warmoesstraat 153 (Cafe Terminus), verschillende ruiten op de eerste en tweede verdieping, ruit van het cafe en het glas van de lichtbak, en van perceel 175 (Pakhuis Bijenkorf), eenige ruiten op de eerste etage. Tevens werden de volgende personen meer of minder ernstig gewond: Mej. Kat, Dhr. Wieriks, Dhr. Lambroek. () Mej. Kat werd ernstig aan haar beenen verwond, en is, blijkens  informatie op 15 december 1943, in hetGasthuis overleden, aan de gevolgen.  Voor zover bekend zijn bij het explodeeren geen verbindingen verbroken, er zijn geen storingen in fabrieken of bedrijven ontstaan. Het politiepersoneel van bureau Warmoesstraat, geassisteerd door twee ruiters en eenige manschappen van de ordedienstis de afzetting geregeld. Na het opruimen van het glas den openbare weg is het verkeer vrijgegeven. () Volgens bekomen inlichtingen zouden het meisje Kat en de verwonde Lambroek zich op den openbaren weg hebben bevonden, toen de granaat explodeerde. Volgens het personeel van Ellerman bevond de gewonde Wieriks zich in de portiek van dat perceel, althans in de nabijheid daarvan, toen de granaat ontplofte. Het komt mij evenwel voor, dat, gezien de plaats van de ontploffing t.o.v. bedoelde portiek, en de bouw van de portiek, bedoelde persoon zich niet in de portiek kan hebben bevonden, toen hij verwond werd. M.i. zouden Kat en Wieriks zich gezien de plaats waar de granaat geëxplodeerd is, niet door scherven van de granaat zijn getroffen, indien zij in een portiek of i.d. aan dien kant van den weg, waar zij zijn getroffen, dekking hadden gezocht. Niet veilig zouden zij hebben gestaan in een eventueele portiek aan de overzijde van de straat. Waar de straat ?bezaaid? was met glas zouden zij in een portiek wel beschermd zijn geweest tegen glasscherven. Hiervan dit rapport opgemaakt op ambtseed te Amsterdam op 16 December 1943. Warmoesstraat 147: schade aan straat en kelder. Warmoesstraat 147-151, drukkerij v/h Ellerman Harms & Co.: alle ruiten stuk. Warmoesstraat 142-148, N.V. Handelsver. v/h S.I. de Vries: alle ruiten stuk. Warmoesstraat 151, Café Terminus: 1 lichtbak en 1 spiegelruit stuk. Warmoesstraat 151 II en III: lichte glasschade. Warmoesstraat 157, pakhuis De Beijenkorf: glasschade eerste etage. Warmoesstraat 165: spiegelruit verbrijzeld door een paard van een politieagent 6 gewonden";"";"POINT(4.895695,52.373593)";"POINT(52.373593,4.895695)";4.895695;52.373593;
314;"Silodam 129";"Vliegtuig(onderdeel) neergestort";"22/12/43";"Lege benzinetank, ca. 2 meter groot, neergekomen";"";"POINT(4.8911049,52.3907935)";"POINT(52.3907935,4.8911049)";4.8911049;52.3907935;
315;"Westhavenweg 109";"Bom, granaat, afweergeschut";"22/12/43";"Granaat geëxplodeerd. Geen schade";"";"POINT(4.8233149,52.4173934)";"POINT(52.4173934,4.8233149)";4.8233149;52.4173934;
316;"Lutkemeerweg 300";"Bom, granaat, afweergeschut";"12/02/44";"Blindganger van het afweergeschut";"";"POINT(4.7657149,52.3582923)";"POINT(52.3582923,4.7657149)";4.7657149;52.3582923;
317;"Brederodestraat 116";"Vliegtuig(onderdeel) neergestort";"20/02/44";"Een lege benzinetank neergekomen. Schade aan de dakgoot. Geen persoonlijke ongelukken";"";"POINT(4.8617351,52.3606917)";"POINT(52.3606917,4.8617351)";4.8617351;52.3606917;
318;"Argostraat 9";"Vliegtuig(onderdeel) neergestort";"21/02/44";"Een lege benzinetank neergekomen";"";"POINT(4.8920848,52.4127928)";"POINT(52.4127928,4.8920848)";4.8920848;52.4127928;
319;"Orionplantsoen 2";"Vliegtuig(onderdeel) neergestort";"21/02/44";"Een lege benzinetank neergekomen";"";"POINT(4.886935,52.4129912)";"POINT(52.4129912,4.886935)";4.886935;52.4129912;
