OBJECTNUMMER;Volgnummer;Adres;Soort_tuin;Sinds;Oppervlakte_m2;Stadsdeel;Foto;Weblink;SELECTIE;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
37;24;"WG-terrein Babs";"Sedumdak";1994;"West";"SEDUMDAK";"POINT(4.869735,52.3632933)";"POINT(52.3632933,4.869735)";4.869735;52.3632933;
38;41;"Jacob van Lennepkade 623";"Sedumdak";0;0;"West";"Aanleg Ecodaken 012J. van Lennepkade 623.jpg";"";"SEDUMDAK";"POINT(4.8595841,52.3619506)";"POINT(52.3619506,4.8595841)";4.8595841;52.3619506;
39;45;"Jacob van Lennepkade ";"Sedumdak";0;0;"West";"";"";"SEDUMDAK";"POINT(4.8681538,52.3641745)";"POINT(52.3641745,4.8681538)";4.8681538;52.3641745;
40;42;"Levantkade";"Sedumdak";"Oost";"dak levantkade gereed.jpg";"SEDUMDAK";"POINT(4.9463351,52.3766944)";"POINT(52.3766944,4.9463351)";4.9463351;52.3766944;
41;23;"Baron G.A. Tindalplein";"Daktuin";"Oost";"DAKTUIN";"POINT(4.9415648,52.3732916)";"POINT(52.3732916,4.9415648)";4.9415648;52.3732916;
42;1;"Sporthal Borneokade";"Sedumdak";"Oost";"SEDUMDAK";"POINT(4.9392149,52.3705947)";"POINT(52.3705947,4.9392149)";4.9392149;52.3705947;
43;2;"Dirk Vreekenstraat";"Sedumdak";"Oost";"dirk_vreeken.jpg";"SEDUMDAK";"POINT(4.9351351,52.3704917)";"POINT(52.3704917,4.9351351)";4.9351351;52.3704917;
44;36;"Lisdoddelaan";"Grasdak";"Oost";"Eva_Besnyostraat.jpg";"GRASDAK";"POINT(4.9926751,52.3528945)";"POINT(52.3528945,4.9926751)";4.9926751;52.3528945;
45;37;"Diemerparklaan";"Sedumdak";"Oost";"Diemerparklaan.jpg";"SEDUMDAK";"POINT(5.0068352,52.3510939)";"POINT(52.3510939,5.0068352)";5.0068352;52.3510939;
46;32;"Haarlerbergerweg";"Daktuin";"Zuidoost";"DAKTUIN";"POINT(4.952575,52.3030936)";"POINT(52.3030936,4.952575)";4.952575;52.3030936;
47;6;"Korte Oudekerkerdijk 7";"Sedumdak";"Oost";"waternet.jpg";"SEDUMDAK";"POINT(4.9165552,52.3397948)";"POINT(52.3397948,4.9165552)";4.9165552;52.3397948;
