OBJECTNUMMER;GebouwGenoot;Gebouwnaam;Adres;Gebouwtype;Genootschap;Categorie_id;Categorie;Website;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
170;"Hofkerk (Martelaren van Gorcumkerk)";"Hofkerk (Martelaren van Gorcumkerk)";"Linnaeushof 93";"Kerk";"";2;"Rooms Katholieke kerk";"";"POINT(4.9334061,52.3530623)";"POINT(52.3530623,4.9334061)";4.9334061;52.3530623;
171;"Muiderkerk";"Muiderkerk";"Linnaeusstraat 35G";"Kerk";"";3;"Protestantse Kerk Nederland (PKN)";"";"POINT(4.9244358,52.3616835)";"POINT(52.3616835,4.9244358)";4.9244358;52.3616835;
172;"Tesfa Birhan Kerk (Etiopisch)";"Tesfa Birhan Kerk (Etiopisch)";"Linnaeusstraat 37";"Kerk";"";1;"Evangelische- of Pinksterkerk";"https://www.facebook.com/pages/Ethiopian-Evangelical-Church-of-Amsterdam-Tesfa-Birhan/165364250146549?sk=info";"POINT(4.9244211,52.3616835)";"POINT(52.3616835,4.9244211)";4.9244211;52.3616835;
173;"Gerardus Majellakerk";"Gerardus Majellakerk";"Lombokstraat 2";"Samenkomstfunctie";"";2;"Rooms Katholieke kerk";"";"POINT(4.9364459,52.3659255)";"POINT(52.3659255,4.9364459)";4.9364459;52.3659255;
174;"Bijbelcentrum bij Simon de Looier - Gereformeerde Gemeente in Nederland en Noord-Amerika";"Bijbelcentrum bij Simon de Looier";"Looiersgracht 70";"Kerkgebouw";"Gereformeerde Gemeente in Nederland en Noord-Amerika";4;"Gereformeerde kerk";"";"POINT(4.8804939,52.3683592)";"POINT(52.3683592,4.8804939)";4.8804939;52.3683592;
175;"Apostolisch Genootschap - Apostolisch Genootschap";"Apostolisch Genootschap";"Louis Bouwmeesterstraat 214";"Kerk";"Apostolisch Genootschap";5;"Christelijke kerk overig";"https://www.apgen.nl/locaties/amstelveen/amsterdam-slotervaart/";"POINT(4.8315222,52.3523223)";"POINT(52.3523223,4.8315222)";4.8315222;52.3523223;
176;"Verrijzeniskerk - Antilliaans - Arubaans (papiaments)";"Verrijzeniskerk";"Louis Bouwmeesterstraat 74";"Kerk";"Antilliaans - Arubaans (papiaments)";2;"Rooms Katholieke kerk";"";"POINT(4.822715,52.3523528)";"POINT(52.3523528,4.822715)";4.822715;52.3523528;
177;"De Verbinding - ";"De Verbinding";"Louis Couperusstraat 133";"Kerk";"";5;"Christelijke kerk overig";"";"POINT(4.8241908,52.3760344)";"POINT(52.3760344,4.8241908)";4.8241908;52.3760344;
178;"Stichting Karma Kagyu Centrum Amsterdam-West - Tibetaans Diamantweg-boeddhisme (Vajrayana)";"Stichting Karma Kagyu Centrum Amsterdam-West";"Lumeijstraat 43";"Onbekend";"Tibetaans Diamantweg-boeddhisme (Vajrayana)";11;"Boeddhistische tempel";"http://www.diamantweg-boeddhisme.nl/content/view/402/98/";"POINT(4.8608429,52.3738371)";"POINT(52.3738371,4.8608429)";4.8608429;52.3738371;
179;"De Nieuwe Stad - Christian Baptist Church (Ghanees)";"De Nieuwe Stad";"Luthuliplein 11";"Kerkelijk centrum";"Christian Baptist Church (Ghanees)";1;"Evangelische- of Pinksterkerk";"";"POINT(4.968507,52.3191077)";"POINT(52.3191077,4.968507)";4.968507;52.3191077;
180;"Christ Church (South-East) – Anglicaanse Kerk - Anglicaanse Kerk";"Christ Church (South-East) – Anglicaanse Kerk";"Luthuliplein 11";"Kerkelijk centrum";"Anglicaanse Kerk";5;"Christelijke kerk overig";"http://www.christchurch.nl";"POINT(4.9686372,52.3190161)";"POINT(52.3190161,4.9686372)";4.9686372;52.3190161;
181;"De Nieuwe Stad";"De Nieuwe Stad";"Luthuliplein 11";"Kerkelijk centrum";"";2;"Rooms Katholieke kerk";"";"POINT(4.968147,52.3190886)";"POINT(52.3190886,4.968147)";4.968147;52.3190886;
182;"De Nieuwe Stad - Persekutuan Kristen Indonesia (PERKI)";"De Nieuwe Stad";"Luthuliplein 11";"Kerkelijk centrum";"Persekutuan Kristen Indonesia (PERKI)";5;"Christelijke kerk overig";"http://www.perki-nl.org/zuidoost.html";"POINT(4.9683359,52.3191229)";"POINT(52.3191229,4.9683359)";4.9683359;52.3191229;
183;"De Nieuwe Stad - Zevende-dags adventisten";"De Nieuwe Stad";"Luthuliplein 11";"Kerkelijk centrum";"Zevende-dags adventisten";5;"Christelijke kerk overig";"http://www.adventist.nl/locatie/";"POINT(4.968632,52.3188445)";"POINT(52.3188445,4.968632)";4.968632;52.3188445;
