OBJECTNUMMER;SELECTIE;Nederlandse_naam;Wetenschappelijke_naam;Kademuur;Beschermd;Rode_lijst;Water;Straat;Brugnummer;Aantal_in_2009;Aantal_in_2010;Aantal_in_2011;Aantal_in_2012;Aantal_in_2013;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
190;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Entrepotdok";"Plantagekade";"";"";"";"1";"";"1";"POINT(4.9121592,52.3689505)";"POINT(52.3689505,4.9121592)";4.9121592;52.3689505;
191;"NB_990";"Muurfijnstraal";"Erigeron karvinskianus";"Ja";"";"";"Entrepotdok";"Entrepotdok";"";"";"";"";"";"3";"POINT(4.9121692,52.3693549)";"POINT(52.3693549,4.9121692)";4.9121692;52.3693549;
192;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Nieuwe Achtergracht";"Nieuwe Achtergracht";"";"3";"";"";"0 exemplaren";"0 exemplaren";"POINT(4.9122488,52.3632704)";"POINT(52.3632704,4.9122488)";4.9122488;52.3632704;
193;"BE_290";"Steenbreekvaren";"Asplenium trichomanes";"Ja";"F2";"";"Oosterdok";"Prins Hendrikskade";"";"";"";"";"";"1";"POINT(4.9122331,52.3716742)";"POINT(52.3716742,4.9122331)";4.9122331;52.3716742;
194;"NB_2421";"Tripmadam";"Sedum reflexum";"Ja";"";"BE";"Entrepotdok";"Entrepotdok";"";"5";"";"8";"1";"0 exemplaren";"POINT(4.9123309,52.3693015)";"POINT(52.3693015,4.9123309)";4.9123309;52.3693015;
195;"NB_990";"Muurfijnstraal";"Erigeron karvinskianus";"Ja";"";"";"Amstel";"Weesperzijde";"";"";"";"";"1";"";"POINT(4.9125779,52.3489729)";"POINT(52.3489729,4.9125779)";4.9125779;52.3489729;
196;"NB_9017";"Rotsnavelkruid";"Umbilicus rupestris";"Ja";"";"";"Entrepotdok";"Entrepotdok";"";"2";"";"1";"";"3";"POINT(4.9123609,52.3692938)";"POINT(52.3692938,4.9123609)";4.9123609;52.3692938;
197;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Plantage Muidergracht";"Nieuwe Prinsengracht";"";"1";"";"";"";"0 exemplaren";"POINT(4.9127219,52.36435)";"POINT(52.36435,4.9127219)";4.9127219;52.36435;
198;"NB_600";"Spoorbloem";"Centranthus ruber";"Ja";"";"";"Nieuwe Achtergracht";"Nieuwe Achtergracht";"";"";"";"";"";"5";"POINT(4.9127309,52.3635336)";"POINT(52.3635336,4.9127309)";4.9127309;52.3635336;
199;"BE_290";"Steenbreekvaren";"Asplenium trichomanes";"Ja";"F2";"";"Oosterdok";"Prins Hendrikskade";"";"3";"";"4";"";"7";"POINT(4.912689,52.3715216)";"POINT(52.3715216,4.912689)";4.912689;52.3715216;
200;"NB_2021";"Stijve naaldvaren";"Polystichum aculeatum";"Ja";"";"GE";"IJhaven";"Veemkade";"";"";"";"";"1";"1";"POINT(4.9128029,52.3787314)";"POINT(52.3787314,4.9128029)";4.9128029;52.3787314;
201;"BE_284";"Zwartsteel";"Asplenium adiantum-nigrum";"Ja";"F2";"";"Entrepotdok";"Plantagekade";"";"1";"";"12";"7";"12";"POINT(4.9130428,52.3686492)";"POINT(52.3686492,4.9130428)";4.9130428;52.3686492;
202;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Entrepotdok";"Plantagekade";"";"1";"";"2";"";"1";"POINT(4.9130728,52.3686415)";"POINT(52.3686415,4.9130728)";4.9130728;52.3686415;
203;"BE_290";"Steenbreekvaren";"Asplenium trichomanes";"Ja";"F2";"";"Entrepotdok";"Plantagekade";"";"";"";"";"9";"1";"POINT(4.9130871,52.3686301)";"POINT(52.3686301,4.9130871)";4.9130871;52.3686301;
204;"NB_2638";"Moerasvaren";"Thelypteris palustris";"Ja";"";"";"Entrepotdok";"Plantagekade";"";"";"";"";"";"1";"POINT(4.9132202,52.3685843)";"POINT(52.3685843,4.9132202)";4.9132202;52.3685843;
205;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"IJhaven";"Veemkade";"";"";"";"";"1";"1";"POINT(4.9131272,52.3786704)";"POINT(52.3786704,4.9131272)";4.9131272;52.3786704;
206;"BE_290";"Steenbreekvaren";"Asplenium trichomanes";"Ja";"F2";"";"Singelgracht";"Korte Marnixkade";"";"3";"";"9";"";"10";"POINT(4.8822458,52.3847357)";"POINT(52.3847357,4.8822458)";4.8822458;52.3847357;
207;"BE_290";"Steenbreekvaren";"Asplenium trichomanes";"Ja";"F2";"";"Singelgracht";"Willemsbrug";"151";"";"";"";"";"1";"POINT(4.8822472,52.3846976)";"POINT(52.3846976,4.8822472)";4.8822472;52.3846976;
208;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Singelgracht";"Korte Marnixkade";"";"13";"";"15";"14";"15";"POINT(4.882261,52.3847357)";"POINT(52.3847357,4.882261)";4.882261;52.3847357;
209;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Lijnbaansgracht";"Lijnbaansgracht";"";"1";"";"1";"";"0 exemplaren";"POINT(4.8823602,52.3825232)";"POINT(52.3825232,4.8823602)";4.8823602;52.3825232;
